name,model_predict,avg_prob,index
1304 matsumotokiyos,加油,0.5255646,665060
132號美食,餐飲,0.81446993,648534
1341matsumoto kiyos,醫療保健/美容,0.7492083,675845
1358matsumoto kiyos,醫療保健/美容,0.7417728,678730
138pin* somerfield,一般購物,0.7282439,679204
1397023 birkenstock,一般購物,0.6273458,680180
1454 extra danmarks,餐飲,0.37664384,665849
146號小吃,餐飲,0.65926933,684564
1475matsumotokiyosh,醫療保健/美容,0.7980512,672861
1495matsumoto kiyos,醫療保健/美容,0.7207148,693317
1499咖啡,餐飲,0.81875736,650648
15 rbrt easton,一般購物,0.44517246,657666
"15,000(01/03期",餐飲,0.39544064,676326
15060065450,其他,0.5425066,662460
151號,教育學費,0.5771907,677344
1529matsumoto kiyos,醫療保健/美容,0.70048845,682120
1560 e-center schro,交通汽修,0.75160825,695092
156飯,餐飲,0.8119293,691516
157 mark's,運動/休閒娛樂,0.51973325,688250
"16,469(01/06期",生活繳費,0.6875034,694823
1642 global new,餐飲,0.41469032,664343
168鹹水雞(蘆洲夜市,餐飲,0.82044727,670331
16twelve,教育學費,0.34874856,671677
17 media,數位影音串流,0.79467016,655709
17(sebeuntin,數位影音串流,0.61701536,686804
170 polo factory st,百貨,0.78684545,655588
1712 www.ka-cn.com,數位影音串流,0.4804034,648542
1725matsumotokiyosh,餐飲,0.7333238,648171
17328515551,生活繳費,0.6805613,659105
17353856165,生活繳費,0.7904716,695878
17524260574,醫療保健/美容,0.27710196,659052
17534037724,其他,0.55212414,686091
1758matsumoto kiyos,醫療保健/美容,0.79655224,684147
176.96 kkiosk,超商超市量販,0.5931887,689923
17629197363,餐飲,0.65576035,694692
1762matsumoto kiyos,醫療保健/美容,0.7842654,691594
17668041616,生活繳費,0.44830847,694930
17689905523,交通汽修,0.7231104,691256
17697013870,加油,0.7924861,699828
17725985016,生活繳費,0.79890084,678134
17734104297,交通汽修,0.6299088,652127
17742740305,生活繳費,0.7932802,662567
17759852273,生活繳費,0.80468565,674887
17770155975,生活繳費,0.7951728,671524
17773153212,生活繳費,0.7166508,671490
17773245314,加油,0.7017773,686549
17780660083,生活繳費,0.40448174,699172
17783399495,生活繳費,0.41018876,691959
1781 503 7887 kaspe,生活繳費,0.44176006,652913
17869546662,生活繳費,0.5116173,680320
17892606489,加油,0.54743385,675359
1798matsumoto kiyos,醫療保健/美容,0.79258597,678023
17pa,3C,0.667531,673559
18 edge by ks peri,一般購物,0.5285547,689946
"18,795(01/06期",餐飲,0.72731256,657211
18001401657,超商超市量販,0.68596464,690626
18035336255,一般購物,0.34679955,655341
18037972260,生活繳費,0.54965806,681031
18050067212,生活繳費,0.7550992,680993
18050092353,生活繳費,0.77542204,678129
18076006702,其他,0.68805766,664696
18076562104,生活繳費,0.64823675,668683
18077229271,其他,0.5060529,666171
18083997509,加油,0.40703535,669444
18092735701,教育學費,0.27498126,666018
18107052234,加油,0.67367214,697144
18125904167,加油,0.57503307,699158
18159399339,生活繳費,0.6361872,657449
18182531291,家居修繕,0.33696276,649312
18188345738,生活繳費,0.7428218,696620
18203285965,生活繳費,0.6888163,671122
18214750039,其他,0.34680337,658858
18216977919,加油,0.5673332,658684
1823 tea lounge by,餐飲,0.8191865,669475
18237650165,加油,0.65769297,696231
1826,交通汽修,0.7306228,673886
18269966754,3C,0.34391344,682546
18270223273,生活繳費,0.62270737,663360
18272666848,生活繳費,0.40721753,679024
18277149611,加油,0.59682024,663308
18284035146,生活繳費,0.38421208,667166
18285286751,加油,0.61213374,651557
18302192381,其他,0.6188885,650485
18302934296,加油,0.72367346,671044
18308344856,加油,0.46094432,679722
18320210826,交通汽修,0.6697241,697342
18335605242,生活繳費,0.57142824,681821
18336557600,加油,0.40121353,699836
1834matsumoto kiyos,醫療保健/美容,0.785405,670432
18353513833,生活繳費,0.6285124,650927
18414374509,加油,0.82366145,657707
18423176924,生活繳費,0.68385756,653251
1844matsumoto kiyos,醫療保健/美容,0.814158,676459
1855x圓石,餐飲,0.8149812,684188
1855x圓石 健康手搖飲,餐飲,0.81393325,692480
18569752681,旅遊,0.6052098,694223
18606566200,生活繳費,0.77427256,667092
18625765229,加油,0.57091355,648793
18634034429,生活繳費,0.68085515,677487
1863matsumotokiyosh,餐飲,0.8188333,668376
18641961202,生活繳費,0.57709086,687747
18643620919,生活繳費,0.7837728,658323
18659091640,加油,0.5753972,655423
1866 coop prix stor,網購,0.78126645,670915
18687494442,生活繳費,0.794502,693708
18696050235,生活繳費,0.7778091,675564
18703744044,加油,0.78139234,676744
18708088098,超商超市量販,0.5922477,687517
18717618840,生活繳費,0.77571523,675636
18753430919,超商超市量販,0.48961034,664693
18773048530,加油,0.76821077,690409
18776246751,生活繳費,0.78728116,675570
18789388700,生活繳費,0.6821045,660869
1879 coop prix salt,餐飲,0.8243612,671856
18837432954,生活繳費,0.7853718,663164
18841214179,加油,0.6219482,684844
18879402229,生活繳費,0.7512332,657320
18899113444,加油,0.777774,653586
18910623996,生活繳費,0.693332,697289
18911387032,生活繳費,0.52127427,660765
18913802054,生活繳費,0.79941785,658864
18913923281,加油,0.52631253,665289
18915077266,加油,0.71157944,687430
18915084903,生活繳費,0.60433173,681430
18916142482,加油,0.33260444,652598
18916350634,生活繳費,0.80486155,691358
18917234679,超商超市量販,0.41831693,671918
18917501489,超商超市量販,0.33053437,665671
18921627531,加油,0.71238065,682147
18922588461,生活繳費,0.4282949,676022
18925163723,生活繳費,0.8114339,664035
18925685737,加油,0.5783676,664081
18937564218,生活繳費,0.6656823,692273
18951695704,生活繳費,0.6742455,686280
18957872792,生活繳費,0.8009322,688557
18ln,一般購物,0.38841528,665445
18th,餐飲,0.43763143,666435
18度雞宵夜食,餐飲,0.8195852,691661
18號食堂 建林店,餐飲,0.8122614,681999
18香腸,餐飲,0.8211042,651209
18香頌烘焙伴手禮,餐飲,0.81680536,668456
190 caf house,餐飲,0.8208136,692885
1915matsumotokiyosh,餐飲,0.8256773,662722
1931 asian chao ori,加油,0.40938124,689897
1946703,加油,0.5250041,664115
194800 extra tromsd,餐飲,0.69133765,672231
195 sct-odean fashi,網購,0.38532695,668168
1955阿義 a-yi 鳳梨冰,餐飲,0.8251224,659520
1955阿義 台中逢甲店,餐飲,0.8317183,673713
1970 saemaeul stree,醫療保健/美容,0.3829012,692166
1979matsumotokiyosh,醫療保健/美容,0.78539705,686632
1986matsumotokiyosh,醫療保健/美容,0.77948904,671865
1987 loopeutab lese,網購,0.71621203,655745
1988 pharmacy,醫療保健/美容,0.79527617,675777
1988 排餐義大利麵,餐飲,0.8209339,685450
198美式炸雞 (楠梓後勁店,餐飲,0.8105642,691288
198美式炸雞 (花蓮太昌店,餐飲,0.77047205,693723
1994串燒居酒,餐飲,0.8024604,687713
1997窯烤披薩,餐飲,0.8231144,660085
1999societe,一般購物,0.6137088,691209
19。5 tea 桃園中壢店,餐飲,0.81437933,659460
1c united cntr conc,運動/休閒娛樂,0.7099762,683558
1f鳥居紡,家居修繕,0.5015396,671694
1night1980hotel,飯店住宿,0.44509715,699505
1password families,其他,0.6623052,665993
1x,加油,0.40733853,696322
1z0180226764030559,其他,0.48168743,681918
1z0t86jf6720017217,其他,0.58367854,652801
1z1x86240444708853,超商超市量販,0.4215039,662685
1z3yy4086735073489,其他,0.33001816,678121
1z59y9790494638423,餐飲,0.47087312,654514
1za3a0000497768600,其他,0.48648754,691911
1zt58c7ed903113625,加油,0.43568566,667235
2 2 cafe bar,餐飲,0.8149605,653267
2 c 2 p*cmg central,醫療保健/美容,0.76662725,666234
2 fishes,一般購物,0.7649616,683582
2 lucille's,數位影音串流,0.4342484,650206
2 p's smoke shop,一般購物,0.7582393,661418
2021年聖人曆,教育學費,0.64586836,663189
2021老梅的家,餐飲,0.8132775,669415
2022 eaaa annual,網購,0.44839132,657492
2022055737 wallet d,其他,0.5375354,679751
202206171525_4ft5v,數位影音串流,0.72806084,695316
2023081509223512088004642,加油,0.3704523,654821
204檔案,運動/休閒娛樂,0.4131897,653856
205剪刀石頭紙,餐飲,0.59968686,676435
20gg4238,加油,0.8447596,693962
2101 coop prix fjel,網購,0.53614527,671183
212 home l jl. gunu,交通汽修,0.7708376,670026
21days帕,餐飲,0.82508284,662766
21ststreet,數位影音串流,0.53178656,651555
21金 (楊梅埔心店,餐飲,0.7884181,680726
21金小火鍋,餐飲,0.8271352,648424
22011372185,一般購物,0.76222044,665789
22038658044,一般購物,0.7292172,691084
223 sct-central fes,其他,0.6180797,681451
22403937650,醫療保健/美容,0.78440976,651586
22428111944,餐飲,0.4700384,665555
225 remarkables f,網購,0.54938656,651475
2260zam00000892,3C,0.7479235,667043
22:02火鍋 環球購物中心新北,餐飲,0.76838666,654194
23.5,數位影音串流,0.68358445,676642
231 sct-fast fac,生活繳費,0.42158338,690162
237 nelson papendr,加油,0.5036952,695104
23冰庄,交通汽修,0.7517458,687239
24 7 cafe apartment,餐飲,0.7523251,693268
24 road assistance,一般購物,0.37174714,682110
2404 great clips ov,運動/休閒娛樂,0.6863593,649301
243 watsons phaholy,醫療保健/美容,0.3380514,664384
244 rehearsal studi,餐飲,0.6457679,697507
2458 extra pilestre,交通汽修,0.42637646,685326
25 lucille s,百貨,0.5213772,654581
2517 hotel victoria,飯店住宿,0.87671345,693439
257 home kitchen,餐飲,0.82709694,689623
257 watsons bang ra,醫療保健/美容,0.79945385,672048
258控肉飯,餐飲,0.8112345,669323
25hours hotel langs,飯店住宿,0.6979475,668033
26 shinjuku station,交通汽修,0.77019846,678933
275300 coop extra d,醫療保健/美容,0.59504205,656646
28 lucille s,一般購物,0.61833876,667747
294 kiko,餐飲,0.638715,657348
2958 www.ka-cn.com,數位影音串流,0.543471,682479
2c2p *samsonite,網購,0.54929584,648519
2co.com*blumentals,3C,0.6057184,675969
2co.com*ntlite.com,數位影音串流,0.75009197,673171
2co.com*pcgb.com,其他,0.7838751,655158
2co.com*prosofteng,其他,0.5810226,683105
2co.com*radiant*dic,網購,0.5233715,650358
2co.com*tuxera.com,網購,0.39336237,660904
2co.com*vso-softwar,一般購物,0.77544534,675817
2ghrsp.com,其他,0.706953,685946
2levy pechanga,一般購物,0.7303169,648737
2nd boom,數位影音串流,0.78187263,675525
2nd street haight s,網購,0.76331013,663026
2ndstreetnagoyakuro,交通汽修,0.50686914,694732
2phx mtr sdwy,交通汽修,0.5442312,676683
2staples centr,運動/休閒娛樂,0.80880433,673329
2tmobile arena,醫療保健/美容,0.29790777,673938
2元黑輪(孔廟商圈,餐飲,0.83142686,649611
2派克脆皮雞排 (基隆七堵店,餐飲,0.82373536,689435
2派克脆皮雞排 圓通店,餐飲,0.8296296,694838
2派克脆皮雞排 桃園南崁店,餐飲,0.8226708,650989
2派克雞排 (草屯碧山店,餐飲,0.81915635,691130
3 dollar japan,其他,0.3442196,667220
3 guys restaurant,醫療保健/美容,0.30292934,689589
3 palms hudson,一般購物,0.5029815,651563
3 sisters market,超商超市量販,0.74037284,667288
3 thirty 3 nail bar,加油,0.81088126,650902
3-8crazy chicken,餐飲,0.76921463,690525
"30,000(01/12期",其他,0.7757171,684297
3007 watsons mahboo,醫療保健/美容,0.7877921,694980
300caf l 水果吐司 l,餐飲,0.78893465,683079
304 sct-rangsit uni,網購,0.46873426,676398
3066 watsons centra,加油,0.4832242,686927
306gansokusihacchin,交通汽修,0.73207015,663025
31,加油,0.46652228,681034
3112 cervera nordst,醫療保健/美容,0.62136763,669008
312 sct-ideo q chul,餐飲,0.40669453,692094
3129 halo live,教育學費,0.65129155,665507
313 cafe,餐飲,0.8128394,698902
313巷手工麻糬,餐飲,0.7602952,691906
318,交通汽修,0.81475776,675431
31早午餐,餐飲,0.6964265,675105
3212gapoutlet shima,一般購物,0.6918866,662429
323pizza,餐飲,0.8257126,677026
3250聯通秀山場,加油,0.71590847,652334
33 love pretty,網購,0.766737,663921
3308聯通第一廣場,超商超市量販,0.5055129,690232
332nik,餐飲,0.3896265,679839
3368,數位影音串流,0.55911654,658652
33師牛肉麵,餐飲,0.82087994,659286
33衣,一般購物,0.7828605,671042
341 adobe,網購,0.67315626,697048
342 watsons century,醫療保健/美容,0.8060424,694436
3484 sunglass hut,超商超市量販,0.3383776,680886
3486 carter s/oshk,一般購物,0.70650077,676598
"35,000(01/18期",其他,0.81536174,665036
350 sct-king power,一般購物,0.50000054,673746
352435px relay,3C,0.6162779,687151
35524 corporate gun,數位影音串流,0.27506536,667110
36.5&deg,教育學費,0.41793433,658412
3619 carter s/oshk,一般購物,0.73483634,673976
363-duty free ameri,運動/休閒娛樂,0.7536728,649288
365 health city,百貨,0.2834839,689142
365 lux gmbh,加油,0.553995,684031
365 t155,3C,0.55418473,690454
365billsupport.com,生活繳費,0.6710205,679066
365sakaba oimachi,餐飲,0.81985486,661635
367 wertheim outlet,一般購物,0.5411548,653880
37 shinjuku station,交通汽修,0.5188386,684214
37.2 degree cafe,一般購物,0.5545377,671542
371 iper rimini,餐飲,0.44572404,660178
3734-mntr relay c,一般購物,0.7023813,674274
374074sc relay,3C,0.7533446,678141
3800 cactus bonnevo,數位影音串流,0.57318336,665514
38dossisikdang,餐飲,0.788446,675408
38g美麗商城,網購,0.7941244,683845
397 sct-phaya victo,交通汽修,0.43466893,679110
398巷口古早味碗粿,餐飲,0.80320406,656134
39元新北市義大利麵媽媽 文南店,餐飲,0.8232281,665083
39煎餅果子,餐飲,0.81524956,682845
3a covid testing li,加油,0.676584,686689
3coins plus,超商超市量販,0.45475104,674635
3cshop,3C,0.78135663,651795
3c茶道 民族東,旅遊,0.5928467,657357
3q甜心彈珠,網購,0.75138324,681133
3q脆皮雞排 (中壢火車店,餐飲,0.82043266,659545
3q脆皮雞排 中原店,餐飲,0.8235607,657653
3q脆皮雞排 大昌店,餐飲,0.82518065,658731
3q脆皮雞排 永康大仁店,餐飲,0.8225961,656647
3suisses,餐飲,0.6406811,670668
3鼎紅麻辣鴨血臭豆腐 台中西屯,餐飲,0.8200207,665284
3鼎紅麻辣鴨血臭豆腐 苗栗店,餐飲,0.8180365,680884
4 aces online shop,一般購物,0.7852254,667859
4 dossi,醫療保健/美容,0.77589494,684027
4 silent birds,餐飲,0.5295161,648104
"4,800(01/03期",保險,0.4975578,670834
"4,999(01/03期",百貨,0.32584786,690085
"40,240(01/12期",交通汽修,0.7348183,698291
4000nyangsoondaekoo,加油,0.46302044,673582
400540 march -6098,交通汽修,0.7985927,677565
401 4.0.1,其他,0.7175135,660702
411 marketing,保險,0.7599236,690221
4112 boots rsu towe,3C,0.6690271,676317
4123416363 roomrate,飯店住宿,0.6880902,694138
4137 boots (park ve,一般購物,0.52890545,660737
4138 boots (central,一般購物,0.27977914,648896
4138 boots central,3C,0.3021073,665372
4138 boots(central,醫療保健/美容,0.5590841,692903
4147 matsumoto kiyo,超商超市量販,0.47618163,679700
4152 boots gateway,網購,0.6856799,654085
4167 boots-pop up s,醫療保健/美容,0.61265945,689722
417 sct-aia capital,生活繳費,0.5366412,697468
41earlybar 虎尾店,餐飲,0.81816894,683674
41公車東北酸菜白肉麵,餐飲,0.8215524,659513
4213 tony and benny,餐飲,0.3378083,666071
422-sct-m9,加油,0.3498894,663801
4293matsumoto kiyos,醫療保健/美容,0.67880327,672986
4298 boots(tapae ch,一般購物,0.7655047,669950
43 shinjuku station,教育學費,0.28180787,696342
431 sct-baan kampu,數位影音串流,0.32830116,666381
433,一般購物,0.5865326,699094
44271 ole and steen,餐飲,0.728934,687919
444studi,其他,0.42882857,672225
447 sct-central vil,交通汽修,0.58081627,685865
46 gansokusihatchin,加油,0.5088935,654126
46059 salerno,醫療保健/美容,0.47500348,662498
466 watsons time sq,生活繳費,0.47875822,658791
469 watsons ck plaz,醫療保健/美容,0.6246111,696778
488,交通汽修,0.7583433,674534
49101 聽音樂的靈,數位影音串流,0.45073706,687825
4homefitness,運動/休閒娛樂,0.7966575,677011
4m,其他,0.2683909,658134
4m pratunam hotel b,一般購物,0.6584892,685949
4y&uuml,加油,0.4429755,694720
5 hertford street l,餐飲,0.6290919,657927
5-dfo/mpo pacific r,餐飲,0.37300345,696394
500px.com,外送平台,0.3294967,693284
502 antigua 佛卡夏專,餐飲,0.8122061,699092
5025 punjab grill-s,餐飲,0.7888671,690180
504queens way,生活繳費,0.7302437,684480
512 cafe and grill,超商超市量販,0.4264185,692834
5168 平價炒飯 精緻便當,餐飲,0.7608712,663412
520,交通汽修,0.766667,656399
5237-dkny ont mills,超商超市量販,0.7526168,664331
52seats of happines,餐飲,0.7371553,684772
533,醫療保健/美容,0.7219218,650652
536 mark s,數位影音串流,0.4980348,668903
5417matsumotokiyosh,醫療保健/美容,0.8022757,675188
5424matsumotokiyosh,醫療保健/美容,0.80534756,667032
5434matsumotokiyosh,醫療保健/美容,0.8078375,671613
5454matsumoto kiyos,醫療保健/美容,0.60565543,659826
5465matsumoto kiyos,其他,0.53253067,696817
"547 broadway, ny-an",生活繳費,0.5578455,688635
5493matsumotokiy,運動/休閒娛樂,0.7995663,668712
54wwrcthv2,餐飲,0.77097434,697944
551horai jrosakaeki,餐飲,0.6904389,681906
5530matsumoto kiyos,餐飲,0.62342674,694633
558養生茶飲,餐飲,0.80949646,660230
566 seafood restaur,一般購物,0.7260648,696248
5703 villa italian,加油,0.23733892,682669
572融咖啡,餐飲,0.69753724,649095
59號雞肉飯 東勇店,餐飲,0.7076235,650517
5guys 1373 qsr,餐飲,0.6439629,654975
5hdyo4 zenmarket,網購,0.69730383,692931
5szzj0 zenmarket,其他,0.37887877,682058
5味臭臭鍋(莊敬店,餐飲,0.82053804,679517
6 de julio scp,交通汽修,0.49285188,678784
"60,000(01/18期",加油,0.51876324,669139
6028matsumoto kiyos,醫療保健/美容,0.785405,685811
607_error,醫療保健/美容,0.46292388,679943
60gyeoichikin gyeon,交通汽修,0.29678074,696221
6127 conserv fuel,加油,0.461071,689262
6255matsumotokiyosh,醫療保健/美容,0.80372536,666851
"63,000(01/06期",加油,0.75248414,648000
6398matsumotokiyosh,醫療保健/美容,0.79680634,669346
640 studio,一般購物,0.7593701,676544
6452 matsumotokiyos,加油,0.7432627,699343
6515matsumotokiyosh,醫療保健/美容,0.8123995,650026
66 fresh wholesales,3C,0.62310505,676536
666 bikbok,加油,0.6415151,659508
6683matsumotokiyosh,醫療保健/美容,0.78539705,664383
66喵,餐飲,0.8255274,693467
68354 jml sloane sq,一般購物,0.3123132,667631
687- the scoop,數位影音串流,0.584738,665674
69 slam berawa mbl,一般購物,0.7934463,649730
690pin* somerfield,網購,0.2783503,674620
6921matsumotokiyosh,醫療保健/美容,0.79753727,687752
69號蔥抓餅 星雲店,餐飲,0.7449727,653461
6nen4kumi shibuyabu,超商超市量販,0.5156879,649954
6號髮型屋,一般購物,0.3200013,694274
7 day store,運動/休閒娛樂,0.57628167,667643
7 eleven 4254,超商超市量販,0.42734307,679541
7 eleven-82 palawan,一般購物,0.71994984,649430
7 eleven-parkway pa,其他,0.6870747,681025
7 santi srl,超商超市量販,0.34950876,690101
7 schwaben apotheke,加油,0.7789002,674594
7-11 abac mall,超商超市量販,0.71210766,665930
7-11 aia capital ce,超商超市量販,0.70067394,699161
7-11 b456 opt,其他,0.7967718,670800
7-11 booth ratchada,加油,0.7771553,699630
7-11 charoennakhon,其他,0.7967718,686753
7-11 cu terrace,餐飲,0.41633332,649206
7-11 happy condo,超商超市量販,0.53861177,651896
7-11 ideo sukhumvit,餐飲,0.5914704,673440
7-11 kasemsan 1,醫療保健/美容,0.5731946,653476
7-11 muban amarin,超商超市量販,0.7575012,674011
7-11 night square,超商超市量販,0.66215754,682927
7-11 nimmanhemin 2,加油,0.54490477,655565
7-11 pattayanuea so,超商超市量販,0.65532494,655253
7-11 phadungdao,超商超市量販,0.43528816,670878
7-11 phetchaburi,一般購物,0.7073237,684906
7-11 ptt indhramara,超商超市量販,0.58793527,679049
7-11 rama 4-2 bonka,網購,0.2601155,681383
7-11 rama 9 hospita,超商超市量販,0.54847443,654377
7-11 rangnam 6,超商超市量販,0.66896677,682693
7-11 river city ban,餐飲,0.78547984,659138
7-11 sathonnuea,其他,0.6809784,675186
7-11 sirimangkhalac,其他,0.7206117,693085
7-11 soi thonglo 6,運動/休閒娛樂,0.4256484,671348
7-11 srinagarindra,超商超市量販,0.33819062,693789
7-11 sukhumvit 20,飯店住宿,0.6983472,675189
7-11 sukhumvit 21,超商超市量販,0.6162048,650267
7-11 sukhumvit 39,超商超市量販,0.7575012,676365
7-11 view place,其他,0.7967718,681662
7-11*39066 bellflow,百貨,0.3973745,696242
70209379 app italot,交通汽修,0.6241882,692224
706-duty free ameri,超商超市量販,0.6225123,671289
707 street,一般購物,0.5387825,673027
716smoes,超商超市量販,0.7687812,689350
72度c舒肥健康餐 大園店,餐飲,0.6985402,667255
72度c舒肥健康餐 學士店,餐飲,0.82293856,657048
72度c舒肥健康餐 民生店,餐飲,0.82509875,684998
72度c舒肥健康餐 竹南店,餐飲,0.8201979,669727
73278998,交通汽修,0.40947285,686106
737商圈 壺茶車 內湖總店,餐飲,0.8189941,654614
744 wien shopping c,一般購物,0.4949315,687821
75 dakgalbi,餐飲,0.6290713,674817
750 grammes,餐飲,0.83079547,668928
76098701 app italot,一般購物,0.7065313,661459
77 house of gerry w,交通汽修,0.55303764,680912
77 welcome to lv,一般購物,0.7051769,671413
77smar,一般購物,0.3630052,696096
77炸雞 (台南民族店,餐飲,0.78769803,660528
79鹽滷豆花甜品,餐飲,0.8212406,689608
7dayspa.co.uk,餐飲,0.57003105,655961
7netshopping sevene,網購,0.33415765,657130
7nice家居生活用品,一般購物,0.77462745,660118
7pupu╴na,網購,0.69813555,673054
7z07f7 zenmarket,網購,0.6458217,680865
7吋qiinch甜品,餐飲,0.76139575,680034
8 carina,餐飲,0.59729904,659988
8 et demi,醫療保健/美容,0.44556284,690049
8 five 2,百貨,0.75533265,658034
"8,001(01/03期",加油,0.69520533,697709
"8,588(01/06期",餐飲,0.72731256,693784
"8,888(01/03期",其他,0.57572293,653406
"8,999(01/06期",加油,0.3624325,691593
8123/p4-01,其他,0.78945863,660062
816gyozahanten,醫療保健/美容,0.8135013,675560
81resta,加油,0.78785807,655797
8444290559vitaminse,醫療保健/美容,0.4464279,662341
853泰雅農市集,超商超市量販,0.70998627,690850
85°c台南成功,餐飲,0.82844305,660782
867rgjkp22,3C,0.6963456,689761
86donut,餐飲,0.81487787,672432
88 gems,交通汽修,0.5117891,692734
88 market,餐飲,0.82473683,660202
88 tofu,醫療保健/美容,0.5359993,650655
8818比薩屋 (台南健康店,餐飲,0.829055,659494
8818比薩屋 (台南永康店,餐飲,0.8131008,681157
88697433 italotreno,交通汽修,0.5562383,683018
888-719-0921enowfit,餐飲,0.48411676,678041
8882623448vtiablesh,數位影音串流,0.5163834,695570
8887190589fitnow4u,運動/休閒娛樂,0.75479424,695463
88singang yangggoch,加油,0.36997592,685886
